sign.	signiﬁcação
sing.	singular.
subst.	substantivo.
suf.	suﬃxo.
suf. v.	suﬃxo verbal.
sup.	superlativo.
Supplem.	Supplemento.
syr.	syríaco.
t.	termo.
Taur.	termo da Tauromaquia.
Terat.	termo de Teratologia.
Theol.	termo de Theologia.
