abarracar	v. t.
abarrancar	v. i. | V. | p.
abarregado	adj. | Topogr.
abarregamento	m.
abarregar	v. | t. | Ant. | p. | Cp.
abarreirar	v. t.
abarretar	v. t.
abarroado	adj. | Ant.
abarrotado	adj. | Ant.
abarrotamento	m.
abarrotar	v. t.
abarruntar	v. t. | Prov. trasm.
abarticular	adj. | Med. | as. | lat.
abaruna	m. | Bras. | Cf.
abasia	f. | Med. | gr.
abasicarpo	m. | gr.
abásico	adj. | m.
abassis	m. pl. | Ant. | Cf.
abassor	adj. | Anat. | gr.
abastadamente	adv.
abastado	adj.
abastamente	adv.
abastamento	m.
abastança	f.
abastar	v. t. | v. i.
abastardado	adj. | ﬁg.
abastardamento	m.
abastardar	v. t.
abastardear	v. t. | Cf. | port.
abastecedor	m.
abastecer	v. t.
abastecimento	m.
abastimento	m. | Prov. trasm.
abasto	m. | Ant.
abastosamente	adv.
abastoso	adj.
abatatado	adj.
abatatar	v. t.
abate	m.
abatedor	m.
abater	v. | t. | v. i. | lat.
abátia	f.
abatidamente	adv.
abatido	adj.
abatimento	m. | Náut.
abatina	f.
abatinar	v. t.
abatirás	m. pl.
abatis	m.
abatis	m. | Bras.
abatixi	m. | Bras.
abatocar	v. t.
abatufado	adj. | Prov. trasm. | Cp.
abauladamente	adv.
abaulado	adj.
abaulador	m.
abaulamento	m.
abaular	v. t.
abaúna	adj. | f.
abaxial	adj. | Ópt. | lat.
abba	m. | syr.
abbacial	adj. | b. lat.
abbadado	m. | Ant.
abbadágio	m.
abbadar	v. t.
abbade	m. | b. lat.
abbadecídio	m. | Cf.
abbadengo	m. | Ant. | Adj.
abbadesco	adj.
abbadessa	f. | b. lat.
abbadessado	m. | as.
abbadessona	f. | fam. | Cf.
abbadia	f.
abbadiado	m.
abbadim	m. | Ant.
abbatina	f.
abc	m.
abceder	v. i. | lat.
abcesso	m. | lat.
abcisão	f. | lat.
abcissa	f. | Geom. | num. | lat.
abdala	ár.
abdalita	m. | ár.
abdelcáder	ár.
abdelcádir	ár.
abderiano	m. e adj.
abderita	m. e adj.
abdicação	f. | lat.
abdicador	m.
abdicante	m.
abdicar	v. t. | lat.
abdicatário	m. e adj.
abdicativo	adj.
abdicavel	adj.
ábdito	adj. | des. | lat.
abdome	m. | lat.
abdômen	m. | V.
abdominaes	m. pl.
abdominais	m. pl.
abdominal	adj. | lat.
abdominoscopia	f. | lat. | gr.
abdominoso	adj.
abdominothorácico	adj. | Anat.
abdominotorácico	adj. | Anat.
abdução	f. | Anat. | lat.
abducção	f. | Anat. | lat.
abducente	adj. | lat.
abductivo	adj.
